Quelle;Kategorie;Eingabe_Rohbegriff;Zielbegriff_Normalisiert
mappings.py;LOKALISATION_GT_MAPPING;mehrere kleine bis mittelgroße Ulzerationen am Unterschenkel (Wade, rechts?) mit entzündlich wirkender Umgebungshaut.;Bein
mappings.py;LOKALISATION_GT_MAPPING;multiple Schädigung gesamter Gesäßbereich;Gesäß / Sakral
mappings.py;LOKALISATION_GT_MAPPING;nicht beurteilbar;Enthaltung / keine Angabe
mappings.py;LOKALISATION_GT_MAPPING;nicht genau definierbar;Enthaltung / keine Angabe
mappings.py;LOKALISATION_GT_MAPPING;nicht genau definierbar könnte Sakralbereich sein;Gesäß / Sakral
mappings.py;LOKALISATION_GT_MAPPING;nicht genau definierbar sieht für mich aus wie am Vorfuß;Fuß
mappings.py;LOKALISATION_GT_MAPPING;nicht genau definierbar, Vermutung Unterschenkel;Bein
mappings.py;LOKALISATION_GT_MAPPING;nicht genau definierbar, meist am Unterschenkel;Bein
mappings.py;LOKALISATION_GT_MAPPING;oberhalb der Achillessehne;Fuß
mappings.py;LOKALISATION_GT_MAPPING;plantarseitig rechter Fuß;Fuß
mappings.py;LOKALISATION_GT_MAPPING;re Fuß;Fuß
mappings.py;LOKALISATION_GT_MAPPING;rechte Ferse;Fuß
mappings.py;LOKALISATION_GT_MAPPING;rechte Hand;Arm / Hand
mappings.py;LOKALISATION_GT_MAPPING;rechte Hand und Arm;Arm / Hand
mappings.py;LOKALISATION_GT_MAPPING;rechter Fuß;Fuß
mappings.py;LOKALISATION_GT_MAPPING;rechter Fuß - lateraler und plantarer Fußbereich/Ferse;Fuß
mappings.py;LOKALISATION_GT_MAPPING;rechter Fuß Fußrücken und lateral;Fuß
mappings.py;LOKALISATION_GT_MAPPING;rechter Fuß medial, Richtung plantar.;Fuß
mappings.py;LOKALISATION_GT_MAPPING;rechter Fuß plantar;Fuß
mappings.py;LOKALISATION_GT_MAPPING;rechter Fuß, Ferse;Fuß
mappings.py;LOKALISATION_GT_MAPPING;rechter Fuß, Ferse, Mittelfuß - Fußsohle;Fuß
mappings.py;LOKALISATION_GT_MAPPING;rechter Fuß, Fußsohle;Fuß
mappings.py;LOKALISATION_GT_MAPPING;rechter Fuß, Innenseite, Knöchel;Fuß
mappings.py;LOKALISATION_GT_MAPPING;rechter Fuß, Spann;Fuß
mappings.py;LOKALISATION_GT_MAPPING;rechter Fuß, in Höhe der großen Zehe, unterhalb der medialen Malleolen;Fuß
mappings.py;LOKALISATION_GT_MAPPING;rechter Unterarm, rechtes Handgelenk, rechte Hand;Arm / Hand
mappings.py;LOKALISATION_GT_MAPPING;rechter Unterschenkel;Bein
mappings.py;LOKALISATION_GT_MAPPING;rechtes Bein, Kniebereich, Unterschenkel;Bein
mappings.py;LOKALISATION_GT_MAPPING;rechtes Bein, höhe der Knöchel;Bein
mappings.py;LOKALISATION_GT_MAPPING;sacralbereich;Gesäß / Sakral
mappings.py;LOKALISATION_GT_MAPPING;sakrales Dekubitalulkus;Gesäß / Sakral
